MFSTKEY             ,STATUS,LASTUPDATE    ,MFSTNUMBER,POWERUNIT ,STOP  ,MFSTDATE,PRONUMBER ,PRODATE ,SHIPNAME                      ,CONSNAME                      ,CONSADD1                      ,CONSADD2                      ,CONSCITY            ,CONSSTATE,CONSZIP,TTLPCS,TTLYDS,TTLWGT,DLVDDATE,DLVDTIME,DLVDPCS,DLVDSIGN                                ,DLVDNOTE                      ,DLVDIMGFILELOCN               ,DLVDIMGFILESIGN               
--------------------,------,--------------,----------,----------,------,--------,----------,--------,------------------------------,------------------------------,------------------------------,------------------------------,--------------------,---------,-------,------,------,------,--------,--------,-------,----------------------------------------,------------------------------,------------------------------,------------------------------
045X021624001       ,0,20240201123000,045X021624,045       ,1,02162024,41750686  ,02152024,DOOLITTLE CARPET & PAINT      ,MOHAWK WHSE/MENDOTA HEIGHTS   ,2359 WATERS DRIVE             ,                              ,MENDOTA HEIGHTS     ,MN       ,55120  ,1,93,0,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
045X021624002       ,0,20240201123000,045X021624,045       ,2,02162024,68981488  ,02092024,MARQUIS INDUSTRIES/BILLING    ,TORBORG BUILDERS              ,396 33RD AVE S                ,                              ,WAITE PARK          ,MN       ,56387  ,5,1028,4382,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624001       ,0,20240201123000,047X021624,047       ,1,02162024,68815116  ,02092024,SYNTHETIC TURF RESOURCES/WHSE ,LEMONT PARK DISTRICT          ,16028 W 127TH ST              ,                              ,LEMONT              ,IL       ,60439  ,2,91,477,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624002       ,0,20240201123000,047X021624,047       ,2,02162024,13881281  ,02132024,ENGINEERED FLOORS             ,CARPET FAIR INC               ,DBA FLOORING AMERICA          ,2250 W SIBLEY BLVD            ,POSEN               ,IL       ,60469  ,1,55,312,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624003       ,0,20240201123000,047X021624,047       ,3,02162024,13951450  ,02142024,ENGINEERED FLOORS             ,CARPET FAIR INC               ,DBA FLOORING AMERICA          ,2250 W SIBLEY BLVD            ,POSEN               ,IL       ,60469  ,1,105,634,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624004       ,0,20240201123000,047X021624,047       ,4,02162024,68887891  ,02082024,MATHEWS & PARLO/BILLING ACCT  ,DESIGNS BY NICOLETTE          ,10800 CENTRAL AVE             ,                              ,CHICAGO RIDGE       ,IL       ,60415  ,3,80,321,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624005       ,0,20240201123000,047X021624,047       ,5,02162024,13790246  ,02132024,ENGINEERED FLOORS             ,S & M FLOORING                ,DBA ROYAL HOME FLOORING       ,7509 WEST 85TH STREET         ,BRIDGEVIEW          ,IL       ,60455  ,2,196,1092,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624006       ,0,20240201123000,047X021624,047       ,6,02162024,13934832  ,02122024,MILLIKEN/BRAUNS DOCK          ,BEYE ELE SCHOOL               ,230 N CUYLER AVE              ,                              ,OAK PARK            ,IL       ,60302  ,1,19,66,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624007       ,0,20240201123000,047X021624,047       ,7,02162024,13934833  ,02122024,MILLIKEN/BRAUNS DOCK          ,HOMES ELEM SCHOOL             ,508 N KENILWORH AVE           ,                              ,OAK PARK            ,IL       ,60302  ,1,19,66,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624008       ,0,20240201123000,047X021624,047       ,8,02162024,68655801  ,02122024,HAGAMAN CARPET/NOURISON       ,EAGLE CARPET SERVICES LTD     ,135 S FAIRBANK STREET         ,                              ,ADDISON             ,IL       ,60101  ,1,17,75,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624009       ,0,20240201123000,047X021624,047       ,9,02162024,68086320  ,02132024,PATRIOT MILLS/MANASSAS TEXTILE,EAGLE CARPET SERVICES LTD     ,135 S FAIRBANK STREET         ,                              ,ADDISON             ,IL       ,60101  ,1,51,202,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624010       ,0,20240201123000,047X021624,047       ,10,02162024,13950985  ,02092024,ENGINEERED FLOORS             ,EAGLE CARPET SERVICES LTD     ,135 S FAIRBANK STREET         ,                              ,ADDISON             ,IL       ,60101  ,1,194,1252,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624011       ,0,20240201123000,047X021624,047       ,11,02162024,13910722  ,02082024,ENGINEERED FLOORS COMMERCIAL  ,GORMANS HOSPITALITY SOLUTIONS ,200 COVINGTON DR              ,                              ,BLOOMINGDALE        ,IL       ,60108  ,3,52,308,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624012       ,0,20240201123000,047X021624,047       ,12,02162024,13790272  ,02142024,ENGINEERED FLOORS             ,PERFORMERS CARPET & TILE      ,25 W 561 ARMY TRAIL ROAD      ,                              ,BLOOMINGDALE        ,IL       ,60108  ,1,10,47,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624013       ,0,20240201123000,047X021624,047       ,13,02162024,41750241  ,02142024,DIXIE HOME/MASLAND            ,TOMS PRICE FURNITURE          ,279 MADSEN DRIVE              ,SUITE 103                     ,BLOOMINGDALE TWP    ,IL       ,60108  ,1,12,96,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624014       ,0,20240201123000,047X021624,047       ,14,02162024,68980795  ,02092024,INTERFACE/UNION CITY WHSE     ,ABM COMMERCIAL FLOORING       ,163 COVINGTON DR              ,                              ,BLOOMINGDALE        ,IL       ,60108  ,2,0,1750,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624015       ,0,20240201123000,047X021624,047       ,15,02162024,68666295  ,02092024,HALSTEAD INTL                 ,HOMEDEPOT.COM                 ,JERZY HANKUS                  ,4675 N SAPPHIRE DR            ,HOFFMAN ESTATES     ,IL       ,60192  ,1,0,907,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624001       ,0,20240201123000,049X021624,049       ,1,02162024,13934824  ,02122024,MILLIKEN/BRAUNS DOCK          ,JOHN BOYLE CO INC/BILLING ACCT,152 SOUTH MAIN STREET         ,PO BOX 397                    ,NEW BRITAIN         ,CT       ,06050  ,2,173,1108,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624002       ,0,20240201123000,049X021624,049       ,2,02162024,68498855  ,02062024,TILITE ARDEX                  ,HOME DEPOT 6229               ,1149 FARMINGTON AVE           ,                              ,BRISTOL             ,CT       ,06010  ,1,0,282,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624003       ,0,20240201123000,049X021624,049       ,3,02162024,10720805  ,01302024,MOHAWK HOME/KARASTAN          ,BASSETT FURNITURE/WAREHOUSE   ,"1100 BUCKINGHAM ST, UNIT 5    ",                              ,WATERTOWN           ,CT       ,06795  ,1,9,46,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624004       ,0,20240201123000,049X021624,049       ,4,02162024,68957397  ,02062024,MICHAELS CARPET/WAREHOUSE     ,A BETTER CARPETING            ,1277 SOUTHFORD ROAD           ,                              ,SOUTHBURY           ,CT       ,06488  ,5,700,2703,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624005       ,0,20240201123000,049X021624,049       ,5,02162024,68976546  ,02092024,DEDICATED LLC/FABRICA WHSE    ,ETHAN ALLEN FURNITURE         ,C/O NEWTOWN SERVICE CTR       ,ETHAN ALLEN RD                ,NEWTOWN             ,CT       ,06470  ,1,12,44,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624006       ,0,20240201123000,049X021624,049       ,6,02162024,41750230  ,02142024,DIXIE HOME/MASLAND            ,RED BARON CPTS WAREHOUSE      ,305 SOUTH MAIN ST             ,                              ,NEWTOWN             ,CT       ,06470  ,1,41,207,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624007       ,0,20240201123000,049X021624,049       ,7,02162024,13951008  ,02092024,ENGINEERED FLOORS             ,PREMIERE FLOORING SYSTEMS     ,30 HENRY STREET-BLDG 1        ,                              ,BETHEL              ,CT       ,06801  ,1,62,1026,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624008       ,0,20240201123000,049X021624,049       ,8,02162024,68689834  ,02092024,HAGAMAN CARPET/NOURISON       ,CARROLL LOWE INC              ,DBA RUSSELLS CARPET WHSE      ,724 DANBURY ROAD              ,RIDGEFIELD          ,CT       ,06877  ,1,155,670,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624009       ,0,20240201123000,049X021624,049       ,9,02162024,68887370  ,02082024,PRESTIGE/WEAVETUFT CPTS       ,TURABIAN & SARIYAN LLC        ,231 FAIRFIELD DR              ,UNITS 2 & 3                   ,BREWSTER            ,NY       ,10509  ,1,30,150,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624010       ,0,20240201123000,049X021624,049       ,10,02162024,68887297  ,02082024,PRESTIGE/WEAVETUFT CPTS       ,TURABIAN & SARIYAN LLC        ,231 FAIRFIELD DR              ,UNITS 2 & 3                   ,BREWSTER            ,NY       ,10509  ,1,30,151,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624011       ,0,20240201123000,049X021624,049       ,11,02162024,68972115  ,02122024,NANCE CARPET & RUG CO INC     ,HOME DEPOT 1271               ,80 INDEPENDENT WAY            ,                              ,BREWSTER            ,NY       ,10509  ,1,167,500,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624012       ,0,20240201123000,049X021624,049       ,12,02162024,68638427  ,02092024,POLYLOOM CORP                 ,HOME DEPOT 1271               ,80 INDEPENDENT WAY            ,                              ,BREWSTER            ,NY       ,10509  ,1,100,542,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624013       ,0,20240201123000,049X021624,049       ,13,02162024,41749025  ,02082024,SHAW DC EAST                  ,HOME DEPOT 4878               ,104 DANBURY RD                ,                              ,NEW MILFORD         ,CT       ,06776  ,1,47,134,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624014       ,0,20240201123000,049X021624,049       ,14,02162024,68655363  ,02122024,HAGAMAN CARPET/NOURISON       ,NORTHEAST CARPET              ,280 DANBURY RD                ,                              ,NEW MILFORD         ,CT       ,06776  ,1,12,50,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624015       ,0,20240201123000,049X021624,049       ,15,02162024,68691376  ,02082024,STANTON CARPET                ,EHTAN ALLEN PHOTO STUDIO      ,143 W ST UNIT B               ,                              ,NEW MILFORD         ,CT       ,06776  ,3,30,124,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624016       ,0,20240201123000,049X021624,049       ,16,02162024,68888121  ,02092024,STANTON CARPET                ,LAIGLE FLOORCOVERING          ,106 POWDER MILL RD            ,                              ,COLLINSVILLE        ,CT       ,06019  ,1,12,77,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624017       ,0,20240201123000,049X021624,049       ,17,02162024,41748666  ,02072024,DIXIE HOME/MASLAND            ,LAIGLE FLOORCOVERING          ,106 POWDER MILL RD            ,                              ,COLLINSVILLE        ,CT       ,06019  ,1,25,141,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624018       ,0,20240201123000,049X021624,049       ,18,02162024,41748661  ,02072024,DIXIE HOME/MASLAND            ,ACTION CARPET & CLEANING WHSE ,8B HERMAN DRIVE               ,                              ,SIMSBURY            ,CT       ,06070  ,1,25,149,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624019       ,0,20240201123000,049X021624,049       ,19,02162024,68807774  ,02052024,STANTON CARPET                ,ACTION CARPET & CLEANING WHSE ,8B HERMAN DRIVE               ,                              ,SIMSBURY            ,CT       ,06070  ,2,26,409,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
049X021624020       ,0,20240201123000,049X021624,049       ,20,02162024,68682854  ,02122024,KALEEN RUGS INC               ,CARPETLAND AVON CT            ,176 WEST MAIN STREET          ,                              ,AVON                ,CT       ,06001  ,1,12,53,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
055X021624001       ,0,20240201123000,055X021624,055       ,1,02162024,41749780  ,02132024,DIXIE HOME/MASLAND            ,MRZ FLOORING INC              ,DBA RAWLINGS FLOOR COVERING   ,204 MAIN STREET               ,WAKEFIELD           ,RI       ,02879  ,1,31,174,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
055X021624002       ,0,20240201123000,055X021624,055       ,2,02162024,41749785  ,02132024,DIXIE HOME/MASLAND            ,PUCCI CARPET                  ,62 PLEASANT ST                ,                              ,WESTERLY            ,RI       ,02891  ,1,17,100,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
055X021624003       ,0,20240201123000,055X021624,055       ,3,02162024,13664160  ,02092024,SOUTHWIND BUILDING PRODUCTS   ,LEFTYSLICE ENTERPRISES INC    ,FLOOR COVERING INTERNATIONAL  ,114 GRANITE ST UNIT 13        ,WESTERLY            ,RI       ,02894  ,1,11,38,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
055X021624004       ,0,20240201123000,055X021624,055       ,4,02162024,13457389  ,02072024,MOHAWK IVC                    ,HOMEDEPOT.COM                 ,BRIAN STEVENS                 ,84 COOPER AVE                 ,MILFORD             ,CT       ,06460  ,1,13,54,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
055X021624005       ,0,20240201123000,055X021624,055       ,5,02162024,13457608  ,02082024,MOHAWK IVC                    ,HOMEDEPOT.COM                 ,JULISSA CHAPARRO ECHEVARRI    ,21 CHERRY ST                  ,EAST HARTFORD       ,CT       ,06108  ,1,41,88,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
055X021624006       ,0,20240201123000,055X021624,055       ,6,02162024,13457939  ,02102024,MOHAWK IVC                    ,HOMEDEPOT.COM                 ,STEPHANIE NGANKEUNELMS        ,477 N MAIN ST                 ,MANCHESTER          ,CT       ,06042  ,1,23,61,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
055X021624007       ,0,20240201123000,055X021624,055       ,7,02162024,13457944  ,02102024,MOHAWK IVC                    ,HOMEDEPOT.COM                 ,LAVINIA LA BONTE              ,23 HAGGERTY RD                ,CHARLTON            ,MA       ,01507  ,1,16,50,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624001       ,0,20240201123000,058X021624,058       ,1,02162024,13951268  ,02132024,DREAM WEAVER/ENGINEERED FLOORS,HOME DEPOT 1284               ,C/O AMERICAN CPT/CARMEL       ,20 DAY ROAD                   ,CARMEL              ,NY       ,10512  ,1,15,55,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624002       ,0,20240201123000,058X021624,058       ,2,02162024,13881198  ,02122024,DREAM WEAVER/ENGINEERED FLOORS,HOME DEPOT 1284               ,C/O AMERICAN CPT/CARMEL       ,20 DAY ROAD                   ,CARMEL              ,NY       ,10512  ,1,30,134,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624003       ,0,20240201123000,058X021624,058       ,3,02162024,13951069  ,02122024,DREAM WEAVER/ENGINEERED FLOORS,HOME DEPOT 1266               ,C/O AMERICAN CPT/CARMEL       ,20 DAY ROAD                   ,CARMEL              ,NY       ,10512  ,1,33,186,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624004       ,0,20240201123000,058X021624,058       ,4,02162024,13951071  ,02122024,DREAM WEAVER/ENGINEERED FLOORS,HOME DEPOT 6172               ,C/O AMERICAN CPT/CARMEL       ,20 DAY ROAD                   ,CARMEL              ,NY       ,10512  ,1,31,164,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624005       ,0,20240201123000,058X021624,058       ,5,02162024,13951384  ,02142024,DREAM WEAVER/ENGINEERED FLOORS,HOME DEPOT 6178               ,C/O AMERICAN CPT/CARMEL       ,20 DAY ROAD                   ,CARMEL              ,NY       ,10512  ,1,20,126,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624006       ,0,20240201123000,058X021624,058       ,6,02162024,68976355  ,02092024,DEDICATED LLC/MASLAND WHSE    ,ST JOHNS HARDWOOD & CARPET    ,3061 EAST MAIN ST             ,                              ,MOHEGAN LAKE        ,NY       ,10547  ,1,23,159,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624007       ,0,20240201123000,058X021624,058       ,7,02162024,68976231  ,02092024,KALEEN BROADLOOM              ,WESTWOOD FLOORING & DESIGN    ,50 CROTON RIVER ROAD          ,                              ,OSSINING            ,NY       ,10562  ,1,13,51,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624008       ,0,20240201123000,058X021624,058       ,8,02162024,13951178  ,02132024,ENGINEERED FLOORS             ,FRANK CALABRO FLOORS          ,5 WALNUT PLACE                ,                              ,THORNWOOD           ,NY       ,10594  ,2,85,686,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624009       ,0,20240201123000,058X021624,058       ,9,02162024,68128528  ,02132024,PLAYNATION                    ,HOMEDEPOT.COM                 ,MARIE PRAGAD                  ,14 POND LN                    ,ARMONK              ,NY       ,10504  ,1,0,1004,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624010       ,0,20240201123000,058X021624,058       ,10,02162024,13458276  ,02142024,MOHAWK IVC                    ,HOMEDEPOT.COM                 ,DINA FAZIOBOCHNIK             ,44 GALLOWAY LN                ,VALHALLA            ,NY       ,10595  ,1,29,100,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624011       ,0,20240201123000,058X021624,058       ,11,02162024,68673564  ,02132024,SYNTHETIC TURF/SYNLAWN        ,MOHAWK DAY CAMP               ,200 OLD TARRYTOWN RD          ,                              ,WHITE PLAINS        ,NY       ,10603  ,7,590,3096,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624012       ,0,20240201123000,058X021624,058       ,12,02162024,68976512  ,02092024,DEDICATED LLC/FABRICA WHSE    ,KANTERS CARPET SERVICE        ,99 FULTON ST                  ,                              ,WHITE PLAINS        ,NY       ,10606  ,1,20,133,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624013       ,0,20240201123000,058X021624,058       ,13,02162024,41749566  ,02102024,DIXIE HOME/MASLAND            ,KANTERS CARPET SERVICE        ,99 FULTON ST                  ,                              ,WHITE PLAINS        ,NY       ,10606  ,1,23,163,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624014       ,0,20240201123000,058X021624,058       ,14,02162024,68119394  ,02132024,KALEEN BROADLOOM              ,KANTERS CARPET SERVICE        ,99 FULTON ST                  ,                              ,WHITE PLAINS        ,NY       ,10606  ,1,20,64,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624015       ,0,20240201123000,058X021624,058       ,15,02162024,68972503  ,02132024,TARKETT                       ,TOWN OF GREENBURG             ,181 KNOLLWOOD RD              ,                              ,WHITE PLAINS        ,NY       ,10607  ,2,33,244,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624016       ,0,20240201123000,058X021624,058       ,16,02162024,13881173  ,02122024,ENGINEERED FLOORS             ,CARPET WORLD                  ,53 TARRYTOWN ROAD             ,                              ,WHITE PLAINS        ,NY       ,10607  ,1,39,130,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624017       ,0,20240201123000,058X021624,058       ,17,02162024,13951463  ,02142024,ENGINEERED FLOORS             ,CARPET WORLD                  ,53 TARRYTOWN ROAD             ,                              ,WHITE PLAINS        ,NY       ,10607  ,3,65,265,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
058X021624018       ,0,20240201123000,058X021624,058       ,18,02162024,13951327  ,02142024,ENGINEERED FLOORS             ,CARPET WORLD                  ,53 TARRYTOWN ROAD             ,                              ,WHITE PLAINS        ,NY       ,10607  ,1,24,83,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
060X021624001       ,0,20240201123000,060X021624,060       ,1,02162024,67965987  ,02132024,MANNINGTON-DALTON PHENIX      ,STUS FLOORING LTD/BILLING     ,4820 W LOOMIS ROAD            ,                              ,GREENFIELD          ,WI       ,53220  ,1,16,80,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
060X021624002       ,0,20240201123000,060X021624,060       ,2,02162024,13910809  ,02122024,ENGINEERED FLOORS COMMERCIAL  ,BROTHERS BUSINESS INTERIORS   ,400 S 5TH STREET              ,                              ,MILWAUKEE           ,WI       ,53204  ,2,26,189,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
060X021624003       ,0,20240201123000,060X021624,060       ,3,02162024,41750790  ,02152024,FLORSTAR/BRAUNS WHSE          ,C/O DFMS                      ,1141 N. 10TH. ST.             ,                              ,MILWAUKEE           ,WI       ,53233  ,81,0,4860,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
060X021624004       ,0,20240201123000,060X021624,060       ,4,02162024,68655744  ,02122024,STANTON CARPET                ,EXECUTIVE FLOORING            ,12040 W FEERICK ST STE D      ,                              ,MILWAUKEE           ,WI       ,53222  ,2,93,514,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
060X021624005       ,0,20240201123000,060X021624,060       ,5,02162024,13881215  ,02132024,ENGINEERED FLOORS             ,CARPETLAND WEST ALLIS         ,11316 WEST ROGERS STREET      ,                              ,WEST ALLIS          ,WI       ,53227  ,1,176,929,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
060X021624006       ,0,20240201123000,060X021624,060       ,6,02162024,13951144  ,02122024,ENGINEERED FLOORS             ,CARPETLAND WEST ALLIS         ,11316 WEST ROGERS STREET      ,                              ,WEST ALLIS          ,WI       ,53227  ,2,397,2975,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
060X021624007       ,0,20240201123000,060X021624,060       ,7,02162024,67965466  ,02132024,DALYN RUG COMPANY             ,CARPETLAND WEST ALLIS         ,11316 WEST ROGERS STREET      ,                              ,WEST ALLIS          ,WI       ,53227  ,1,7,26,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
060X021624008       ,0,20240201123000,060X021624,060       ,8,02162024,41750769  ,02152024,HERREGAN DISTRIBUTORS         ,CARPETLAND WEST ALLIS         ,11316 WEST ROGERS STREET      ,                              ,WEST ALLIS          ,WI       ,53227  ,1,0,121,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
060X021624009       ,0,20240201123000,060X021624,060       ,9,02162024,41750784  ,02152024,HERREGAN DISTRIBUTORS         ,CARPETLAND WEST ALLIS         ,11316 WEST ROGERS STREET      ,                              ,WEST ALLIS          ,WI       ,53227  ,1,0,2,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
060X021624010       ,0,20240201123000,060X021624,060       ,10,02162024,68877033  ,02152024,JAECKLE WHOLESALE/BILLING     ,BUILDING SERVICE              ,W222N630 CHEANEY ROAD         ,                              ,WAUKESHA            ,WI       ,53186  ,3,0,123,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
061X021624001       ,0,20240201123000,061X021624,061       ,1,02162024,13664234  ,02142024,BRAUNS WHSE/DALTON            ,SOUTHWIND BUILDING PRODUCTS   ,2202 INDUSTRIAL SOUTH ROAD    ,                              ,DALTON              ,GA       ,30721  ,1,0,282,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
061X021624002       ,0,20240201123000,061X021624,061       ,2,02162024,13951273  ,02132024,BRAUNS WHSE/DALTON            ,ENGINEERED FLOORS             ,3201 NORTH BYPASS             ,                              ,DALTON              ,GA       ,30720  ,1,127,438,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
062X021624001       ,0,20240201123000,062X021624,062       ,1,02162024,68813327  ,02072024,MARQUIS INDUSTRIES            ,TOWN & COUNTRY FLOORING       ,91360 E FRONTAGE RD           ,                              ,STURGEON LAKE       ,MN       ,55783  ,1,0,1155,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
062X021624002       ,0,20240201123000,062X021624,062       ,2,02162024,41750325  ,02142024,FLORSTAR/BRAUNS WHSE          ,CLOQUET FLOORING LLC          ,1504 1/2 HWY 33S              ,**CALL B4 DEL**               ,CLOQUET             ,MN       ,55720  ,15,37,930,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
062X021624003       ,0,20240201123000,062X021624,062       ,3,02162024,41748454  ,02062024,JAECKLE/BRAUNS WHSE           ,LAGOM MODULAR                 ,10 E HOUSE ST                 ,                              ,DULUTH              ,MN       ,55808  ,2,0,288,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
062X021624004       ,0,20240201123000,062X021624,062       ,4,02162024,41749950  ,02132024,JAECKLE/BRAUNS WHSE           ,CARLSONS FLOOR CENTER INC     ,2032 E 5TH STREET             ,                              ,SUPERIOR            ,WI       ,54880  ,1,0,74,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
062X021624005       ,0,20240201123000,062X021624,062       ,5,02162024,FA039561  ,02152024,ENGINEERED FLOORS COMMERCIAL  ,JOHNSONS CARPET ONE           ,1730 W MICHIGAN STREET        ,                              ,DULUTH              ,MN       ,55806  ,5,0,3002,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
062X021624006       ,0,20240201123000,062X021624,062       ,6,02162024,13457830  ,02092024,MOHAWK CALHOUN                ,JOHNSONS CARPET ONE           ,1730 W MICHIGAN STREET        ,                              ,DULUTH              ,MN       ,55806  ,1,112,689,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
